,Publication
109,"Ghali, K., Othmani, M., and Ghaddar, N. 2008. ""Energy consumption and feasibility study of a hybrid desiccant dehumidification air conditioning system in Beirut"" , International Journal of Green Energy, vol.5, no.5, pp-360-372"
110,"Ghaddar, N., Ghali, K., and Jreije, B. 2008. ""Ventilation of wind-permeable clothed cylinder subject to periodic swinging motion: Modeling and experimentation"" , Journal of Heat Transfer, vol.130, no.9"
111,"Ghali, K., Ghaddar, N., and Salloum, M. 2008. ""Effect of stove asymmetric radiation field on thermal comfort using a multisegmented bioheat model"" , Building and Environment, vol.43, no.7, pp-1241-1249"
112,"Mossolly, M., et al. 2008. ""Optimized Operation of Combined Chilled Ceiling Displacement Ventilation System Using Genetic Algorithm"" , ASHRAE TRANSACTIONS 2008, VOL 114, PT 2, vol.114, pp-541-554"
113,"Ghaddar, N., et al. 2008. ""Design Charts for Combined Chilled Ceiling Displacement Ventilation System"" , ASHRAE TRANSACTIONS 2008, VOL 114, PT 2, vol.114, pp-574-587"
114,"Ghali, K., Ghaddar, N., and Ayoub, M. 2007. ""Chilled ceiling and displacement ventilation system for energy savings: A case study"" , International Journal of Energy Research, vol.31, no.8, pp-743-759"
115,"Salloum, M., Ghaddar, N., and Ghali, K. 2007. ""A new transient bioheat model of the human body and its integration to clothing models"" , International Journal of Thermal Sciences, vol.46, no.4, pp-371-384"
116,"Ayoub, M., Ghaddar, N., and Ghali, K. 2007. ""Ã‚Â“Energy Consumption of Solar-assisted Desiccant Dehumidification Air Conditioning System in Beirut"""" , Kuwait Journal of Science, vol.34, no.1, pp-107-122"
117,"Ghali, K., Ghaddar, N., and Jaroudi, E. 2006. ""Heat and moisture transport through the microclimate air annulus of the clothing-skin system under periodic motion"" , Journal of Heat Transfer, vol.128, no.9, pp-908-918"
118,"Ghaddar, N., Salam, M., and Ghali, K. 2006. ""Steady thermal comfort by radiant heat transfer: The impact of the heater position"" , Heat Transfer Engineering, vol.27, no.7, pp-29-40"
119,"Moukalled, F., et al. 2006. ""Heat and mass transfer in moist soil, part II. application to predicting thermal signatures of buried landmines"" , Numerical Heat Transfer, Part B: Fundamentals, vol.49, no.5, pp-487-512"
120,"Moukalled, F., et al. 2006. ""Numerical and experimental investigation of thermal signatures of buried landmines in dry soil"" , Journal of Heat Transfer, vol.128, no.5, pp-484-494"
121,"Ayoub, M., Ghaddar, N., and Ghali, K. 2006. ""Simplified thermal model of spaces cooled with combined positive displacement ventilation and chilled ceiling system"" , HVAC and R Research, vol.12, no.4, pp-1005-1030"
122,"Ghaddar, N., et al. 2005. ""Ventilation rates of micro-climate air annulus of the clothing-skin system under periodic motion"" , International Journal of Heat and Mass Transfer, vol.48, no.15, pp-3151-3166"
123,"Nuwayhid, R.Y., Shihadeh, A., and Ghaddar, N. 2005. ""Development and testing of a domestic woodstove thermoelectric generator with natural convection cooling"" , Energy Conversion and Management, vol.46, no.9-10, pp-1631-1643"
124,"Ghaddar, N., Ghali, K., and Harathani, J. 2005. ""Modulated air layer heat amd moisture transport by ventilation and diffusion from clothing with open aperture"" , Journal of Heat Transfer, vol.127, no.3, pp-287-297"
125,"Ghaddar, N., Ghali, K., and Salam, M. 2005. ""Radiant domestic combustion stove system: Experimental and simulated study of energy use and thermal comfort"" , INTERNATIONAL JOURNAL OF GREEN ENERGY, vol.2, no.3, pp-287-306"
126,"Ghali, K., et al. 2004. ""Experimental and Numerical Investigation of the Effect of Phase Change Materials on Clothing During Periodic Ventilation"" , Textile Research Journal, vol.74, no.3, pp-205-214"
127,"Ghaddar, N., Ghali, K., and Najm, A. 2003. ""Use of desiccant dehumidification to improve energy utilization in air-conditioning systems in Beirut"" , International Journal of Energy Research, vol.27, no.15, pp-1317-1338"
128,"Ghaddar, N., Ghali, K., and Jones, B. 2003. ""Integrated human-clothing system model for estimating the effect of walking on clothing insulation"" , International Journal of Thermal Sciences, vol.42, no.6, pp-605-619"
129,"Ghaddar, N. and Sawaya, E. 2003. ""Testing and modeling thermosyphonic closed-loop magnetohydrodynamic electrolyte flow"" , Journal of Thermophysics and Heat Transfer, vol.17, no.2, pp-129-137"
130,"Ghali, K., Ghaddar, N., and Jones, B. 2002. ""Multilayer three-node model of convective transport within cotton fibrous medium"" , Journal of Porous Media, vol.5, no.1, pp-17-31"
131,"Sawaya, E., Ghaddar, N., and Chaaban, F. 2002. ""Evaluation of the Hall parameter of electrolyte solutions in thermosyphonic MHD flow"" , International Journal of Engineering Science, vol.40, no.18, pp-2041-2056"
132,"Ghali, K., Ghaddar, N., and Jones, B. 2002. ""Empirical evaluation of convective heat and moisture transport coefficients in porous cotton medium"" , Journal of Heat Transfer, vol.124, no.3, pp-530-537"
133,"Ghali, K., Ghaddar, N., and Jones, B. 2002. ""Modeling of heat and moisture transport by periodic ventilation of thin cotton fibrous media"" , International Journal of Heat and Mass Transfer, vol.45, no.18, pp-3703-3714"
134,"El-Fadel, M., et al. 2001. ""Uncertainty in estimating and mitigating industrial related GHG emissions"" , Energy Policy, vol.29, no.12, pp-1031-1043"
135,"Chedid, R., et al. 2001. ""Assessment of energy efficiency measures: The case of the Lebanese energy sector"" , International Journal of Energy Research, vol.25, no.4, pp-355-374"
136,"Ghaddar, N. and El-Hajj, A. 2000. ""Numerical study of heat transfer augmentation of viscous flow in corrugated channels"" , Heat Transfer Engineering, vol.21, no.5, pp-35-46"
137,"Ghaddar, N. 1999. ""Turbulent hydromagnetic flow in bottom-heated thermosyphonic closed loop"" , Energy Conversion and Management, vol.40, no.12, pp-1341-1356"
138,"Chaaban, F., Ghaddar, N., and Nahleh, A. 1999. ""Experimental study of a novel thermosyphonic MHD electric generator"" , SAE Technical Papers"
139,"Ghaddar, N.K. 1998. ""Numerical simulation of side-heated free convection loop placed in transverse magnetic field; the induced electric current"" , International Journal of Numerical Methods for Heat and Fluid Flow, vol.8, no.7, pp-814-840"
140,"Ghaddar, N. and Nasr, Y. 1998. ""Experimental study of a refrigerant charged solar collector"" , International Journal of Energy Research, vol.22, no.7, pp-625-638"
141,"Ghaddar, N. 1998. ""Analytical model of thermal energy conversion to electrical energy via a thermosyphonic magnetohydrodynamic generator"" , International Journal of Engineering Science, vol.36, no.7-8, pp-783-800"
142,"Ghaddar, N. and Bsat, A. 1998. ""Energy conservation of residential buildings in Beirut"" , International Journal of Energy Research, vol.22, no.6, pp-523-546"
143,"Ghaddar, N. 1998. ""Analytical model of induced electric current from a free convection loop placed in a transverse magnetic field"" , International Journal of Heat and Mass Transfer, vol.41, no.8-9, pp-1075-1086"
144,"Ghaddar, N. 1998. ""Analytical model of a side-heated free convection loop placed in a transverse magnetic field"" , Journal of Fluids Engineering, Transactions of the ASME, vol.120, no.1, pp-62-69"
145,"Ghaddar, N.K. and Al-Maarafie, A.M. 1997. ""Study of charging of stratified storage tanks with finite wall thickness"" , International Journal of Energy Research, vol.21, no.5, pp-411-427"
146,"Ghaddar, N.K. 1997. ""Numerical simulation of a vertical thermosyphonic loop placed in a transverse magnetic field"" , Numerical Heat Transfer, Part B: Fundamentals, vol.32, no.2, pp-231-246"
147,"Ghaddar, N.K., Shihab, M., and Bdeir, F. 1997. ""Modeling and simulation of solar absorption system performance in Beirut"" , Renewable Energy, vol.10, no.4, pp-539-558"
148,"Ghaddar, N.K. 1996. ""Natural convection over rotating cylindrical heat source in an enclosure"" , Journal of Thermophysics and Heat Transfer, vol.10, no.2, pp-303-311"
149,"Ghaddar, N.K. and Thiele, F. 1994. ""Natural convection over a rotating cylindrical heat source in a rectangular enclosure"""
150,"Abu-Saad Huijer, H., Dimassi, H., and Abboud, S. 2009. ""Perspectives on palliative care in Lebanon: knowledge, attitudes, and practices of medical and nursing specialties."" , Palliative & supportive care, vol.7, no.3, pp-339-47"
151,"Abu-Saad Huijer, H., Abboud, S., and Dimassi, H. 2009. ""Palliative care in Lebanon: knowledge, attitudes and practices."" , International journal of palliative nursing, vol.15, no.7, pp-346-53"
152,"Marini, SD., Hasman, A., and Huijer, HA. 2009. ""Information technology for medication administration: assessing bedside readiness among nurses in Lebanon."" , International journal of evidence-based healthcare, vol.7, no.1, pp-49-58"
153,"Huijer, HA., Dimassi, H., and Abboud, S. 2008. ""Perspectives on palliative care in Lebanon."" , Journal of palliative medicine, vol.11, no.9, pp-1184-5"
154,"van Bruchem-van de Scheur, GA., et al. 2008. ""Alleviation of pain and symptoms with a life-shortening intention."" , Nursing ethics, vol.15, no.5, pp-682-95"
155,"Doumit, MA., et al. 2008. ""The lived experience of Lebanese family caregivers of cancer patients."" , Cancer nursing, vol.31, no.4, pp-E36-42"
156,"Huijer, H.A.-S., Abboud, S., and Dimassi, H. 2008. ""Practices in paediatric palliative care in Lebanon"" , European Journal of Palliative Care, vol.15, no.4, pp-190-192"
157,"Van Bruchem-Van De Scheur, G.G., et al. 2008. ""Euthanasia and assisted suicide in Dutch hospitals: The role of nurses"" , Journal of Clinical Nursing, vol.17, no.12, pp-1618-1626"
158,"Van Bruchem-van De Scheur, G.G., et al. 2008. ""The role of nurses in euthanasia and physician-assisted suicide in The Netherlands"" , Journal of Medical Ethics, vol.34, no.4, pp-254-258"
159,"Huijer, H.A.-S. 2008. ""Pediatric palliative care: State of the art"" , Journal Medical Libanais, vol.56, no.2, pp-86-92"
160,"Daher, M., et al. 2008. ""Implementation of palliative care in Lebanon: past, present, and future."" , Le Journal medical libanais. The Lebanese medical journal, vol.56, no.2, pp-70-6"
161,"Doumit, MA. and Abu-Saad, HH. 2008. ""Lebanese cancer patients: communication and truth telling preferences."" , Contemporary nurse, vol.28, no.1-2, pp-74-82"
162,"van Bruchem-van de Scheur, A., et al. 2008. ""Dutch nurses\' attitudes towards euthanasia and physician-assisted suicide."" , Nursing ethics, vol.15, no.2, pp-186-98"
163,"Bejjani-Gebara, J., Tashjian, H., and Huijer, H.A.-S. 2008. ""End-of-life care for Muslims and Christians in Lebanon"" , European Journal of Palliative Care, vol.15, no.1, pp-38-43"
164,"Doumit, MA., Abu-Saad Huijer, H., and Kelley, JH. 2007. ""The lived experience of Lebanese oncology patients receiving palliative care."" , European journal of oncology nursing : the official journal of European Oncology Nursing Society, vol.11, no.4, pp-309-19"
165,"Peters, M., et al. 2007. ""Migraine and chronic daily headache management: implications for primary care practitioners."" , Journal of clinical nursing, vol.16, no.7B, pp-159-67"
166,"Abu-Saad Huijer, H. and Dimassi, H. 2007. ""Palliative care in Lebanon: Knowledge, attitudes and practices of physicians and nurses"" , Journal Medical Libanais, vol.55, no.3, pp-121-128"
167,"Kraag, G., et al. 2007. ""Process evaluation of \'learn young, learn fair\': A stress management programme for 5th and 6th graders"" , School Psychology International, vol.28, no.2, pp-206-219"
168,"van Bruchem-van de Scheur, GG., et al. 2007. ""Euthanasia and physician-assisted suicide in the Dutch homecare sector: the role of the district nurse."" , Journal of advanced nursing, vol.58, no.1, pp-44-52"
169,"Ramelet, AS., et al. 2007. ""Development and preliminary psychometric testing of the Multidimensional Assessment of Pain Scale: MAPS."" , Paediatric anaesthesia, vol.17, no.4, pp-333-40"
170,"Proot, IM., et al. 2007. ""Supporting stroke patients\' autonomy during rehabilitation."" , Nursing ethics, vol.14, no.2, pp-229-41"
171,"Caraig, F., et al. 2007. ""IMPaCCT: Standards for Pediatric Palliative Care in Europe"" , European Journal of Palliative Care"
172,"De, Jong., et al. 2007. ""Ergebnisse einer Untersuchung von Fatigue bei Brustkrebspatientinnen mit adjuvanter Chemotherapie: Die ersten vier Tage nach dem Zyklus Sind am belastendsten "" , Pflegewissenschaft"
173,"Kraag, G., et al. 2006. ""School programs targeting stress management in children and adolescents: A meta-analysis"" , Journal of School Psychology, vol.44, no.6, pp-449-472"
174,"Goldsteen, M., et al. 2006. ""What is a good death? Terminally ill patients dealing with normative expectations around death and dying."" , Patient education and counseling, vol.64, no.1-3, pp-378-86"
175,"de Jong, N., et al. 2006. ""Course of fatigue between two cycles of adjuvant chemotherapy in breast cancer patients."" , Cancer nursing, vol.29, no.6, pp-467-77"
176,"Huijer, HA., Balian, SA., and Arevian, M. 2006. ""Cherishing the past: 100 years of nursing education at the American University of Beirut."" , Journal of transcultural nursing : official journal of the Transcultural Nursing Society, vol.17, no.4, pp-327-32"
177,"de Jong, N., et al. 2006. ""Course of the fatigue dimension ""activity level"" and the interference of fatigue with daily living activities for patients with breast cancer receiving adjuvant chemotherapy."" , Cancer nursing, vol.29, no.5, pp-E1-13"
178,"Zwakhalen, SM., et al. 2006. ""Pain in elderly people with severe dementia: a systematic review of behavioural pain assessment tools."" , BMC geriatrics, vol.6, pp-3"
179,"Ramelet, AS., et al. 2006. ""Capturing postoperative pain responses in critically ill infants aged 0 to 9 months."" , Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies, vol.7, no.1, pp-19-26"
180,"Proot, I., et al. 2006. ""Measuring patient and family satisfaction with terminal care: The development and testing of the Maastricht Instrument on Satisfaction with terminal care (MITTZ)"" , Supportive Palliative Cancer Care"
181,"Peters, M., et al. 2006. ""Management strategies as predictors of physicians’ consultations in migraine and chronic daily headache sufferers"" , Headache & Migraine"
182,"Huijer Abu-Saad, H. 2006. ""Palliative care; views of patients, home carers, and health professionals"" , Supportive Palliative & Cancer Care"
183,"Huijer Abu-Saad, H. 2006. ""Editorial “100 years of Nursing Education at the American University of Beirut (AUB); A Milestone in International Nursing”"" , Journal of Transcultural Nursing"
184,"Peters, M., et al. 2005. ""Patients\' management of migraine and chronic daily headache: a study of the members of the Migraine Action Association (United Kingdom)."" , Headache, vol.45, no.5, pp-571-81"
185,"de Jong, N., et al. 2005. ""Course of mental fatigue and motivation in breast cancer patients receiving adjuvant chemotherapy"" , Annals of Oncology, vol.16, no.3, pp-372-382"
186,"de Jong, N., et al. 2005. ""[Prevalence and course of fatigue in breast cancer: the kind of chemotherapy plays a role."" , Pflege Zeitschrift, vol.58, no.2, pp-100-3"
187,"Huijer, H.A.-S., Noureddine, S., and Dumit, N. 2005. ""Nursing in Lebanon"" , Applied Nursing Research, vol.18, no.1, pp-63-64"
188,"Huijer Abu-Saad, H. and Daher, M. 2005. ""The View from Lebanon; Palliative care is fairly a new development in Lebanon"" , European Journal of Palliative Care"
189,"Kraag, G., et al. 2005. ""Development of a stress programme-Learn young, learn fair- for fifth and sixth formers in the Netherlands using intervention mapping"" , International Journal of Mental Health Promotion"
190,"Buss, IC., et al. 2004. ""Pressure ulcer prevention in nursing homes: views and beliefs of enrolled nurses and other health care workers."" , Journal of clinical nursing, vol.13, no.6, pp-668-76"
191,"Peters, M., et al. 2004. ""Migraine and chronic daily headache management: a qualitative study of patients\' perceptions."" , Scandinavian journal of caring sciences, vol.18, no.3, pp-294-303"
192,"Bours, GJ., et al. 2004. ""A pressure ulcer audit and feedback project across multi-hospital settings in the Netherlands."" , International journal for quality in health care : journal of the International Society for Quality in Health Care / ISQua, vol.16, no.3, pp-211-8"
193,"de Jong, N., et al. 2004. ""Prevalence and course of fatigue in breast cancer patients receiving adjuvant chemotherapy"" , Annals of Oncology, vol.15, no.6, pp-896-905"
